,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
0,万祥镇,浦东新区,0.168453716,181,135.5019598,14575,1172.243781,201,0.288152215,1.973887673,2.770583588,1.0190579795974457,5.198497031265826,4.908986103683795,9.587063011218692,7.0666749527732815,5.303304908059076
1,书院镇,浦东新区,0.228179774,654,268.9447107,14419,992.3016156,641,0.272529403,13.59724824,77.85941106,4.35490477806431,6.483107351457199,5.594505822045106,9.576302060306647,6.9000271090555225,6.46302945692067
2,周浦镇,浦东新区,0.251593235,679,583.3523454,37658,2727.592222,1334,0.499447924,0.733608642,10.05108697,2.307680784875528,6.520621127558696,6.368791369832624,10.536300694056374,7.91117452905129,7.195937226475569
3,大团镇,浦东新区,0.211549979,633,328.8120768,11253,1290.898848,517,0.372351972,0.97728332,1.62819553,0.4874723647909942,6.450470422144176,5.795486392434505,9.328390038749998,7.163094036111615,6.248042874508429
4,宣桥镇,浦东新区,0.193334845,451,232.1595234,43696,1004.913227,397,0.40386074,1.203494325,3.274719047,1.1862320782317126,6.111467339502679,5.447424736239215,10.685011843713486,6.91265647547202,5.983936280687191
5,康桥镇,浦东新区,0.220553399,683,498.3235505,53612,2403.818371,946,0.628679432,1.577085392,47.70145025,3.864961800996058,6.52649485957079,6.211249565860306,10.889528202598388,7.78481373997222,6.852242569051878
6,惠南镇,浦东新区,0.219412682,1167,723.3484911,22811,2170.517945,1979,0.482537106,2.017246027,16.35766141,2.794696375357883,7.062191632286556,6.583891113084621,10.03499815473834,7.682721102385729,7.590346945602565
7,新场镇,浦东新区,0.215444617,857,303.1596444,25722,1134.440886,689,0.34431447,2.851878502,15.8140466,2.7608985704004327,6.75343791859778,5.714259545965175,10.155101935826032,7.033895197088875,6.535241271013659
8,航头镇,浦东新区,0.21213686,913,443.6818654,27644,1478.42113,899,0.430679577,1.163814993,8.725483075,2.166247833317986,6.816735880594968,6.095107786240166,10.227163985211284,7.298729993263638,6.80128303447162
9,南汇新城镇,浦东新区,0.14065731,1469,266.5147439,21323,348.9762975,1417,0.223414634,9.395076824,75.59692569,4.325415616882434,7.292337176173877,5.585429566278199,9.967541581326234,5.855004004423288,7.256297239690681
10,五里桥街道,黄浦区,0.456086173,123,322.6397207,84555,22083.15487,220,0.753461856,0.659743771,6.205834626,1.8254899182331759,4.812184355372417,5.776536284894021,11.345157489183785,10.002570373789213,5.393627546352362
11,打浦桥街道,黄浦区,0.544099041,107,272.1971038,82211,36241.73038,356,0.87079932,0.193942349,1.214694894,0.1944929292082145,4.672828834461906,5.606526450190151,11.317044392042519,10.49796650680952,5.87493073085203
12,淮海中路街道,黄浦区,0.606325915,82,268.8475096,77610,40449.37253,447,0.887485969,0.88869908,15.27913579,2.726488223892823,4.406719247264253,5.594144340054889,11.259451563848184,10.607806410128992,6.102558594613569
13,瑞金二路街道,黄浦区,0.476398173,96,314.2799285,76356,34234.93381,485,0.82035207,1.303944036,15.48381415,2.739795229930891,4.564348191467836,5.750284080803459,11.243161893020792,10.441001858151804,6.184148890937483
